regcode,sepa,name,name_before_quotes,name_in_quotes,name_after_quotes,without_quotes,regtype,regtype_text,type,type_text,registered,terminated,closed,address,index,addressid,region,city,atvk,reregistration_term
41202013815,LV53ZZZ41202013815,"IK ""KRASTNIEKI A I""",IK,KRASTNIEKI A I,,0,K,Komercreģistrs,IK,Individuālais komersants,2/26/1998,4/10/2014,L,"Dundagas nov., Kolkas pag., Kolka, ""Krastnieki""",3275,103045133,100015821,0,885162,
40008223126,LV18ZZZ40008223126,NEW LATVIAN BALLET,,NEW LATVIAN BALLET,,1,B,Biedrību un nodibinājumu reģistrs,BDR,Biedrība,4/10/2014,, ,"Rīga, Āraišu iela 36 - 1A",1039,117415555,0,100003003,10000,
40003868290,,"Sabiedrība ar ierobežotu atbildību ""AST BŪVE""",Sabiedrība ar ierobežotu atbildību,AST BŪVE,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,10/24/2006,12/11/2013,L,"Jūrmala, Raiņa iela 79-28",2011,116484351,0,100003036,130000,
40103215608,,"SIA ""Baltima""",SIA,Baltima,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,2/17/2009,12/11/2013,L,"Rīga, Trijādības iela 4",1048,102009175,0,100003003,10000,
40008048734,LV28ZZZ40008048734,"Mednieku klubs ""Atpūtas""",Mednieku klubs,Atpūtas,,0,B,Biedrību un nodibinājumu reģistrs,BDR,Biedrība,2/23/2000,, ,"Rīga, Zemes iela 4 - 69",1082,115058568,0,100003003,10000,
44103118474,LV29ZZZ44103118474,"SIA ""JG Fitness""",SIA,JG Fitness,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,9/4/2018,, ,"Valmiera, Pārgaujas iela 12 - 4",4201,119165152,0,100003735,250000,
